species,dd long,dd lat
Hroretzi,2173,1
Hroretzi,2268,1
Hroretzi,2507,1
Hroretzi,2625,1
Hroretzi,2870,1
Hroretzi,2874,1
Hroretzi,2895,1
Hroretzi,3010,1
Hroretzi,3025,1
Hroretzi,3163,1
Hroretzi,3173,1
Hroretzi,3330,1
Hroretzi,3512,1
Hroretzi,3684,1
Hroretzi,4001,1
Hroretzi,4003,1
Hroretzi,4161,1
Hroretzi,4162,1
Hroretzi,4163,1
Hroretzi,4164,1
Hroretzi,4170,1
Hroretzi,4173,1
Hroretzi,4319,1
Hroretzi,4320,1
Hroretzi,4321,1
Hroretzi,4324,1
Hroretzi,4325,1
Hroretzi,4327,1
Hroretzi,4452,1
Hroretzi,4464,1
Hroretzi,4466,1
Hroretzi,4478,1
Hroretzi,4482,1
Hroretzi,4483,1
Hroretzi,4484,1
Hroretzi,4486,1
Hroretzi,4491,1
Hroretzi,4493,1
Hroretzi,4495,1
Hroretzi,4505,1
Hroretzi,4641,1
Hroretzi,4642,1
Hroretzi,4666,1
Hroretzi,4696,1
Hroretzi,4698,1
Hroretzi,4834,1
Hroretzi,4835,1
Hroretzi,4891,1
Hroretzi,5064,1
Hroretzi,5067,1
Hroretzi,5070,1
Hroretzi,5093,1
Hroretzi,5277,1
Hroretzi,5306,1
Hroretzi,5307,1
Hroretzi,5308,1
Hroretzi,5493,1
Hroretzi,5494,1
Hroretzi,5498,1
Hroretzi,5504,1
Hroretzi,5505,1
Hroretzi,5524,1
Hroretzi,5726,1
Hroretzi,5727,1
Hroretzi,5757,1
Hroretzi,5760,1
Hroretzi,5959,1
Hroretzi,5983,1
Hroretzi,5993,1
Hroretzi,6234,1
Hroretzi,6467,1
Hroretzi,6480,1
Hroretzi,6724,1
Hroretzi,6974,1
Hroretzi,6978,1
Hroretzi,7138,1
Hroretzi,7140,1
Hroretzi,7228,1
Hroretzi,7248,1
Hroretzi,7254,1
Hroretzi,7392,1
Hroretzi,7497,1
Hroretzi,7507,1
Hroretzi,7676,1
Hroretzi,7782,1
Hroretzi,7786,1
Hroretzi,7789,1
Hroretzi,7800,1
Hroretzi,7807,1
Hroretzi,8065,1
Hroretzi,8071,1
Hroretzi,8087,1
Hroretzi,8096,1
Hroretzi,8381,1
Hroretzi,8393,1
Hroretzi,8687,1
Hroretzi,8688,1
Hroretzi,8717,1
Hroretzi,9040,1
Hroretzi,9043,1
Hroretzi,9740,1
Hroretzi,9741,1
Hroretzi,10069,1
Hroretzi,10070,1
Hroretzi,10090,1
Hroretzi,10091,1
Hroretzi,10096,1
Hroretzi,10410,1
Hroretzi,10418,1
Hroretzi,10442,1
Hroretzi,10819,1
Hroretzi,10821,1
Hroretzi,10822,1
Hroretzi,11174,1
Hroretzi,11183,1
Hroretzi,11331,1
Hroretzi,11532,1
Hroretzi,11533,1
Hroretzi,11535,1
Hroretzi,11536,1
Hroretzi,11537,1
Hroretzi,11538,1
Hroretzi,11868,1
Hroretzi,11872,1
Hroretzi,11876,1
Hroretzi,12197,1
Hroretzi,12532,1
Hroretzi,12535,1
Hroretzi,12537,1
Hroretzi,12670,1
Hroretzi,12791,1
Hroretzi,12827,1
Hroretzi,12836,1
Hroretzi,12991,1
Hroretzi,13135,1
Hroretzi,13136,1
Hroretzi,13281,1
Hroretzi,13396,1
Hroretzi,13404,1
Hroretzi,13406,1
Hroretzi,13408,1
Hroretzi,13416,1
Hroretzi,13417,1
Hroretzi,13675,1
Hroretzi,13687,1
Hroretzi,13954,1
Hroretzi,14112,1
Hroretzi,14252,1
Hroretzi,14403,1
Hroretzi,14417,1
Hroretzi,14544,1
Hroretzi,14556,1
Hroretzi,14717,1
Hroretzi,14722,1
Hroretzi,14724,1
Hroretzi,14725,1
Hroretzi,14870,1
Hroretzi,15048,1
Hroretzi,15052,1
Hroretzi,15054,1
Hroretzi,15345,1
Hroretzi,15359,1
Hroretzi,15360,1
Hroretzi,15636,1
Hroretzi,15656,1
Hroretzi,15680,1
Hroretzi,15689,1
Hroretzi,15999,1
Hroretzi,17708,1
Hroretzi,18894,1
Hroretzi,20386,1
Hroretzi,20387,1
Hroretzi,20388,1
Btrigonus,4315,1
Btrigonus,4482,1
Btrigonus,4649,1
Btrigonus,4650,1
Btrigonus,4654,1
Btrigonus,4655,1
Btrigonus,4659,1
Btrigonus,4661,1
Btrigonus,4662,1
Btrigonus,4663,1
Btrigonus,4664,1
Btrigonus,4665,1
Btrigonus,4842,1
Btrigonus,4843,1
Btrigonus,4844,1
Btrigonus,4845,1
Btrigonus,4850,1
Btrigonus,4852,1
Btrigonus,4853,1
Btrigonus,4854,1
Btrigonus,4855,1
Btrigonus,4856,1
Btrigonus,4857,1
Btrigonus,5034,1
Btrigonus,5035,1
Btrigonus,5038,1
Btrigonus,5039,1
Btrigonus,5040,1
Btrigonus,5041,1
Btrigonus,5043,1
Btrigonus,5044,1
Btrigonus,5045,1
Btrigonus,5046,1
Btrigonus,5047,1
Btrigonus,5048,1
Btrigonus,5049,1
Btrigonus,5050,1
Btrigonus,5051,1
Btrigonus,5052,1
Btrigonus,5053,1
Btrigonus,5054,1
Btrigonus,5055,1
Btrigonus,5056,1
Btrigonus,5057,1
Btrigonus,5058,1
Btrigonus,5059,1
Btrigonus,5060,1
Btrigonus,5240,1
Btrigonus,5241,1
Btrigonus,5243,1
Btrigonus,5250,1
Btrigonus,5252,1
Btrigonus,5253,1
Btrigonus,5254,1
Btrigonus,5256,1
Btrigonus,5257,1
Btrigonus,5258,1
Btrigonus,5259,1
Btrigonus,5260,1
Btrigonus,5263,1
Btrigonus,5267,1
Btrigonus,5269,1
Btrigonus,5271,1
Btrigonus,5463,1
Btrigonus,5464,1
Btrigonus,5465,1
Btrigonus,5466,1
Btrigonus,5467,1
Btrigonus,5468,1
Btrigonus,5469,1
Btrigonus,5470,1
Btrigonus,5472,1
Btrigonus,5473,1
Btrigonus,5479,1
Btrigonus,5482,1
Btrigonus,5483,1
Btrigonus,5487,1
Btrigonus,5489,1
Btrigonus,5490,1
Btrigonus,5688,1
Btrigonus,5689,1
Btrigonus,5690,1
Btrigonus,5691,1
Btrigonus,5692,1
Btrigonus,5693,1
Btrigonus,5694,1
Btrigonus,5695,1
Btrigonus,5696,1
Btrigonus,5697,1
Btrigonus,5698,1
Btrigonus,5699,1
Btrigonus,5702,1
Btrigonus,5704,1
Btrigonus,5705,1
Btrigonus,5706,1
Btrigonus,5708,1
Btrigonus,5711,1
Btrigonus,5719,1
Btrigonus,5725,1
Btrigonus,5916,1
Btrigonus,5917,1
Btrigonus,5918,1
Btrigonus,5919,1
Btrigonus,5920,1
Btrigonus,5921,1
Btrigonus,5922,1
Btrigonus,5923,1
Btrigonus,5924,1
Btrigonus,5928,1
Btrigonus,5930,1
Btrigonus,5931,1
Btrigonus,5932,1
Btrigonus,5934,1
Btrigonus,5935,1
Btrigonus,5936,1
Btrigonus,5937,1
Btrigonus,5957,1
Btrigonus,5958,1
Btrigonus,5961,1
Btrigonus,5962,1
Btrigonus,6150,1
Btrigonus,6151,1
Btrigonus,6159,1
Btrigonus,6160,1
Btrigonus,6163,1
Btrigonus,6164,1
Btrigonus,6166,1
Btrigonus,6167,1
Btrigonus,6168,1
Btrigonus,6169,1
Btrigonus,6174,1
Btrigonus,6175,1
Btrigonus,6176,1
Btrigonus,6177,1
Btrigonus,6178,1
Btrigonus,6179,1
Btrigonus,6180,1
Btrigonus,6181,1
Btrigonus,6182,1
Btrigonus,6198,1
Btrigonus,6205,1
Btrigonus,6207,1
Btrigonus,6208,1
Btrigonus,6216,1
Btrigonus,6404,1
Btrigonus,6405,1
Btrigonus,6406,1
Btrigonus,6407,1
Btrigonus,6408,1
Btrigonus,6409,1
Btrigonus,6412,1
Btrigonus,6414,1
Btrigonus,6416,1
Btrigonus,6417,1
Btrigonus,6418,1
Btrigonus,6419,1
Btrigonus,6421,1
Btrigonus,6443,1
Btrigonus,6444,1
Btrigonus,6445,1
Btrigonus,6451,1
Btrigonus,6452,1
Btrigonus,6453,1
Btrigonus,6637,1
Btrigonus,6638,1
Btrigonus,6639,1
Btrigonus,6640,1
Btrigonus,6642,1
Btrigonus,6643,1
Btrigonus,6644,1
Btrigonus,6645,1
Btrigonus,6646,1
Btrigonus,6649,1
Btrigonus,6650,1
Btrigonus,6657,1
Btrigonus,6658,1
Btrigonus,6659,1
Btrigonus,6660,1
Btrigonus,6662,1
Btrigonus,6664,1
Btrigonus,6694,1
Btrigonus,6696,1
Btrigonus,6697,1
Btrigonus,6698,1
Btrigonus,6699,1
Btrigonus,6700,1
Btrigonus,6702,1
Btrigonus,6886,1
Btrigonus,6889,1
Btrigonus,6890,1
Btrigonus,6892,1
Btrigonus,6893,1
Btrigonus,6894,1
Btrigonus,6898,1
Btrigonus,6945,1
Btrigonus,6947,1
Btrigonus,6948,1
Btrigonus,6949,1
Btrigonus,6951,1
Btrigonus,6952,1
Btrigonus,6978,1
Btrigonus,6979,1
Btrigonus,7151,1
Btrigonus,7153,1
Btrigonus,7154,1
Btrigonus,7158,1
Btrigonus,7161,1
Btrigonus,7162,1
Btrigonus,7220,1
Btrigonus,7252,1
Btrigonus,7410,1
Btrigonus,7411,1
Btrigonus,7412,1
Btrigonus,7415,1
Btrigonus,7417,1
Btrigonus,7514,1
Btrigonus,7515,1
Btrigonus,7516,1
Btrigonus,7695,1
Btrigonus,7805,1
Btrigonus,7806,1
Btrigonus,7807,1
Btrigonus,7808,1
Btrigonus,8090,1
Btrigonus,8091,1
Btrigonus,8092,1
Btrigonus,8093,1
Btrigonus,8282,1
Btrigonus,8390,1
Btrigonus,8391,1
Btrigonus,8715,1
Btrigonus,8717,1
Btrigonus,9018,1
Btrigonus,9049,1
Btrigonus,9050,1
Btrigonus,9408,1
Btrigonus,9748,1
Btrigonus,9749,1
Btrigonus,9750,1
Btrigonus,10098,1
Btrigonus,10099,1
Btrigonus,10101,1
Btrigonus,10275,1
Btrigonus,10276,1
Btrigonus,10277,1
Btrigonus,10278,1
Btrigonus,10448,1
Btrigonus,10450,1
Btrigonus,10635,1
Btrigonus,10636,1
Btrigonus,10637,1
Btrigonus,10638,1
Btrigonus,10639,1
Btrigonus,10640,1
Btrigonus,10641,1
Btrigonus,10993,1
Btrigonus,10994,1
Btrigonus,10997,1
Btrigonus,10998,1
Btrigonus,10999,1
Btrigonus,11000,1
Btrigonus,11001,1
Btrigonus,11002,1
Btrigonus,11003,1
Btrigonus,11351,1
Btrigonus,11353,1
Btrigonus,11354,1
Btrigonus,11355,1
Btrigonus,11356,1
Btrigonus,11357,1
Btrigonus,11358,1
Btrigonus,11541,1
Btrigonus,11707,1
Btrigonus,11708,1
Btrigonus,11710,1
Btrigonus,11712,1
Btrigonus,11713,1
Btrigonus,12019,1
Btrigonus,12020,1
Btrigonus,12021,1
Btrigonus,12023,1
Btrigonus,12048,1
Btrigonus,12049,1
Btrigonus,12050,1
Btrigonus,12070,1
Btrigonus,12073,1
Btrigonus,12076,1
Btrigonus,12077,1
Btrigonus,12336,1
Btrigonus,12351,1
Btrigonus,12352,1
Btrigonus,12353,1
Btrigonus,12356,1
Btrigonus,12357,1
Btrigonus,12358,1
Btrigonus,12362,1
Btrigonus,12391,1
Btrigonus,12393,1
Btrigonus,12397,1
Btrigonus,12398,1
Btrigonus,12399,1
Btrigonus,12415,1
Btrigonus,12416,1
Btrigonus,12417,1
Btrigonus,12541,1
Btrigonus,12542,1
Btrigonus,12543,1
Btrigonus,12664,1
Btrigonus,12665,1
Btrigonus,12666,1
Btrigonus,12667,1
Btrigonus,12698,1
Btrigonus,12837,1
Btrigonus,12962,1
Btrigonus,12978,1
Btrigonus,12979,1
Btrigonus,13020,1
Btrigonus,13120,1
Btrigonus,13127,1
Btrigonus,13129,1
Btrigonus,13249,1
Btrigonus,13255,1
Btrigonus,13405,1
Btrigonus,13409,1
Btrigonus,13410,1
Btrigonus,13412,1
Btrigonus,13526,1
Btrigonus,13527,1
Btrigonus,13528,1
Btrigonus,13537,1
Btrigonus,13538,1
Btrigonus,13539,1
Btrigonus,13543,1
Btrigonus,13667,1
Btrigonus,13670,1
Btrigonus,13674,1
Btrigonus,13676,1
Btrigonus,13679,1
Btrigonus,13680,1
Btrigonus,13804,1
Btrigonus,13821,1
Btrigonus,13822,1
Btrigonus,13823,1
Btrigonus,13824,1
Btrigonus,13826,1
Btrigonus,13827,1
Btrigonus,13828,1
Btrigonus,13841,1
Btrigonus,13949,1
Btrigonus,13950,1
Btrigonus,13952,1
Btrigonus,13958,1
Btrigonus,14098,1
Btrigonus,14099,1
Btrigonus,14100,1
Btrigonus,14101,1
Btrigonus,14114,1
Btrigonus,14118,1
Btrigonus,14119,1
Btrigonus,14234,1
Btrigonus,14235,1
Btrigonus,14237,1
Btrigonus,14238,1
Btrigonus,14246,1
Btrigonus,14248,1
Btrigonus,14388,1
