x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34
-1.1756307,0.7562593,0.64591634,0.69640326,0.72379637,0.7562593,0.02806735,-0.03832233,-0.20546919,-0.3177935,-83.24063,-84.47668,-80.26874,-70.2533,6.7593694,5.5233154,9.7312565,19.746695,186.75937,185.52332,189.73126,199.7467,104.06906,105.305115,101.09717,91.081726,78.49528,76.89116,75.85406,77.01149,4.172017,4.162922,4.124059,3.979566
-0.7465466,1.1853434,0.07378358,1.1193703,1.1480814,1.1498264,1.2457371e-5,-0.018928528,0.0016668439,-0.13328683,-68.13395,-69.784935,-66.70096,-28.593237,-21.866049,-20.215061,-23.29905,-61.40676,158.13394,159.78494,156.70096,118.59324,132.69449,131.04349,134.12747,172.2352,33.12492,33.11699,33.454697,9.595813,4.9025073,4.893247,4.8672743,4.7413177
-0.7556247,1.1762652,0.07257807,1.1102922,1.1390033,1.1407483,-0.003004849,-0.024728775,-0.002141595,-0.14439917,-68.85846,-69.1265,-66.13283,-25.488354,-21.141544,-20.873505,-23.867176,-64.51164,158.85846,159.1265,156.13283,115.48836,131.96997,131.70193,134.6956,175.34007,33.221554,33.41569,33.470425,9.624638,4.8750167,4.8661547,4.840674,4.71473
-0.7389909,1.1928991,0.057596087,1.1269261,1.1556371,1.1573821,-0.0067880154,-0.020548463,-0.0007996559,-0.12115264,-69.00243,-70.47927,-66.61415,-38.77687,-20.997568,-19.520735,-23.385845,-51.22313,159.00244,160.47928,156.61415,128.77687,131.82599,130.34915,134.21428,162.05156,32.13297,32.461933,33.30808,10.791511,4.9785357,4.969327,4.9416776,4.81966
-0.75852674,1.1733632,0.07335079,1.1073902,1.1361012,1.1378462,-0.00224185,-0.024233222,-0.016754031,-0.1471278,-67.93523,-70.097725,-67.53366,-45.638966,-22.06477,-19.902279,-22.466337,-44.361034,157.93523,160.09772,157.53366,135.63896,132.8932,130.73071,133.29477,155.18947,33.447998,33.72341,34.07908,10.189311,4.8465343,4.837083,4.811731,4.6833296
-0.76213855,1.1697514,0.07629818,1.1037784,1.1324894,1.1342344,-0.0015817285,-0.023271263,-0.032743514,-0.14935118,-68.18603,-70.94963,-68.990906,-63.478504,-21.81397,-19.05037,-21.0091,-26.521494,158.18604,160.94963,158.9909,153.4785,132.6424,129.8788,131.83752,137.34993,33.38261,34.062244,34.786694,12.191187,4.819536,4.809584,4.7837024,4.6535196
-0.75201094,1.1798791,0.076315165,1.113906,1.1426171,1.1443621,-0.0026086569,-0.024335682,0.0026519299,-0.14104962,-69.33716,-68.31355,-65.22528,-5.8344197,-20.662846,-21.686451,-24.774715,-84.16557,159.33716,158.31355,155.22528,95.83442,131.49127,132.51488,135.60315,165.00598,33.258854,33.178116,33.08381,10.0716305,4.899276,4.8910217,4.8652697,4.7415743
-0.7222218,1.2096682,0.05953592,1.1436951,1.1724062,1.1741512,-0.0048214793,-0.015385628,0.0054403543,-0.10158628,-68.49067,-69.497154,-65.05028,-13.675378,-21.50933,-20.502851,-24.949726,-76.32462,158.49066,159.49716,155.05028,103.67538,132.33777,131.33127,135.77815,172.84694,31.032518,31.785765,32.634003,11.021496,5.072757,5.064782,5.0360155,4.9196258
-0.7410741,1.1908159,0.05474943,1.1248429,1.153554,1.155299,-0.008702099,-0.022352695,-0.008014441,-0.12076688,-70.899475,-71.81564,-68.675446,-63.566883,-19.10053,-18.184355,-21.324558,-26.433117,160.89948,161.81564,158.67545,153.56688,129.92896,129.01279,132.15298,137.26155,31.40694,32.347237,33.90965,13.218395,4.968633,4.958515,4.9299784,4.8065767
-0.75224155,1.1796484,0.06826782,1.1136754,1.1423864,1.1441314,-0.0006902814,-0.018353343,-0.03201425,-0.13433611,-69.96298,-71.74444,-70.10337,-72.34157,-20.037018,-18.255558,-19.896633,-17.658434,159.96298,161.74445,160.10336,162.34157,130.86545,129.08398,130.72507,128.48686,32.22499,33.4145,34.688465,14.222122,4.866331,4.855807,4.82795,4.6992908
